Author;"Book Title";Published;Rating;Description
"Agatha Christie";"Into the Mummy's Tomb";2009;0.00;"Arthur Weigall
Thc Malevolence of Ancient Egyptian Spirits
Louisa May Alcott
Lost in a Pyramid, or The Mummy's Curse
Various Egyptologists
Raiding Mummies' Tombs
Sir Arthur Conan Doyle
The Ring of Thoth
Tennessee Williams
The Vengeance of Nitocris
H. P. Lovecraft
Under thc Pyramids
Howard Carter, with A. C. Mace
Opening King Tutankhamen's Tomb
Agatha Christie
The Adventure of the Egyptian Tomb
An Ancient Egyptian Priest
The Demon-Possessed Princess
Mark Twain
The Majestic Sphinx
Sir H. Rider Haggard
Smith and thc Pharaohs
Edgar Allan Poe
Some Words with a Mummy
Ray Bradbury
Colonel Stonesteel's Genuine Horne-Made
Truly Egyptian Mummy
Rudyard Kipling
Dead Kings (excerpt)
Sir Arthur Conan Doyle
Lot No. 249
Elizabeth Peters
The Locked Tomb Mystery
Sax Rohmer
Thc Death-Ring of Sncfcru
Anne Rice
The Mummy or Ramses the Damned (excerpt)
Bram Stoker
The Jewel of Seven Stars (abridged)"
"Agatha Christie";"The White Dress; the Silent Speaker; the Hollow";2022;0.00;"Sin descripción"
"Agatha Christie";"Jarīmah fī Wādī al-Nīl";2025;0.00;"Sin descripción"
"Agatha Christie";"The secret of Chimneys";2025;0.00;"Sin descripción"
"Agatha Christie";"The Case of the Queenly Contestant; At Bertram's Hotel";2010;5.00;"Sin descripción"
"Agatha Christie";"The case of the empty tin; Evil under the sun; A pinch of poison";2025;0.00;"Sin descripción"
"Agatha Christie";"Dead man's folly; What crime is it?; The man in the net";2025;0.00;"Sin descripción"
"Agatha Christie";"Ordeal by Innocence";2024;0.00;"Sin descripción"
"Agatha Christie";"Lingotes de Oro";2024;0.00;"Sin descripción"
"Agatha Christie";"Misterio Del Jarrón Azul";2024;0.00;"Sin descripción"
"Agatha Christie";"Matrimonio de Sabuesos";2024;0.00;"Sin descripción"
"Agatha Christie";"Misterioso Señor Brown";2024;0.00;"Sin descripción"
"Agatha Christie";"Muerte en la Vicaría";2024;0.00;"Sin descripción"
"Agatha Christie";"The secret adversary";2025;0.00;"Investigating the case of Jane Finn, a woman who has been missing for five years, Tommy and Tuppence Beresford uncover just enough information to solve the mystery and put their own lives in jeopardy."
"Agatha Christie";"Mystery Stories";2009;0.00;"The green arches / Joan Aiken --
The Aztec opal / Rodrigues Ottolengui --
Wuthering Heights (an extract) / Emily Brontë --
The girl who kissed a peach tree (an Italian folktale) / Eleanor Farjeon --
The thing in the pond / Paul Ernst --
Smart ice cream / Paul Jennings --
The pelican / Ann Pilling --
The adventures of Johnnie Waverly / Agatha Christie --
The tower / Carl Jung --
The scythe / Ray Bradbury --
A sea above the sky / Thomas Wright --
A vine on the house / Ambrose Bierce --
The master / Diana Wynne Jones."
"Agatha Christie";"Забойства ва ""Усходнім Экспрэсе""";2025;0.00;"Sin descripción"
"Agatha Christie";"And then there were none";2025;0.00;"Sin descripción"
"Agatha Christie";"Murder on the Orient Express";2009;4.08;"***While en route from Syria to Paris, in the middle of a freezing winter's night, the Orient Express is stopped dead in its tracks by a snowdrift.*** Passengers awake to find the train still stranded and to discover that a wealthy American has been brutally stabbed to death in his private compartment. Incredibly, that compartment is locked from the inside. With no escape into the wintery landscape the killer must still be on board. ***Fortunately, the brilliant Belgian inspector Hercule Poirot is also on board, having booked the last available berth.***

***Murder on the Orient Express is one of Agatha Christie’s most famous novels***, owing no doubt to a combination of its romantic setting and the ingeniousness of its plot; its non-exploitative reference to the sensational kidnapping and murder of the infant son of Charles and Anne Morrow Lindbergh only two years prior; and a popular ***1974 film adaptation, starring Albert Finney as Poirot - one of the few cinematic versions of a Christie work that met with the approval, however mild, of the author herself.***"
"Agatha Christie";"Mysterious Affair at Styles";2024;0.00;"Sin descripción"
"Agatha Christie";"Deluxe Complete, Annotated Secret Adversary";2024;0.00;"Sin descripción"
"Agatha Christie";"Created Single";2024;0.00;"Sin descripción"
"Agatha Christie";"Pale Horse";2024;0.00;"Sin descripción"
"Agatha Christie";"Moving Finger";2024;0.00;"Sin descripción"
"Agatha Christie";"Matrimonio de Sabuesos";2024;0.00;"Sin descripción"
"Agatha Christie";"Mysterious Affair at Styles";2024;0.00;"Sin descripción"
"Agatha Christie";"Absent in the Spring";2025;0.00;"Sin descripción"
"Agatha Christie";"Capital Christie";2025;0.00;"Sin descripción"
"Agatha Christie";"Hercule Poirot's Christmas";2024;0.00;"Sin descripción"
"Agatha Christie";"Diez Negritos";2024;0.00;"Sin descripción"
"Agatha Christie";"Asesinato en el Orient Express";2024;0.00;"Sin descripción"
"Agatha Christie";"Mysterious Affair at Styles (Lady Valkyrie Crime/Mystery/Thrillers)";2024;0.00;"Sin descripción"
"Agatha Christie";"Poirot Investigates";2024;0.00;"Sin descripción"
"Agatha Christie";"Poirot Double Bill";2024;0.00;"Sin descripción"
"Agatha Christie";"Secret of Chimneys";2024;0.00;"Sin descripción"
"Agatha Christie";"Curtain / Agatha Christie";2024;0.00;"Sin descripción"
"Agatha Christie";"Cornish Mystery";2023;0.00;"Sin descripción"
"J.R.R. Tolkien";"EL HOBBIT. EDICIÓN ILUSTRADA POR EL AUTOR";2025;0.00;"Sin descripción"
"J.R.R. Tolkien";"El Señor de los Anillos. Edición ilustrada por el autor";2025;0.00;"Sin descripción"
"J.R.R. Tolkien";"Lord of the Rings";2025;0.00;"Sin descripción"
"J.R.R. Tolkien";"Валадар Пярсцёнкаў. Вяртанне Караля";2025;0.00;"Sin descripción"
"J.R.R. Tolkien";"Sirg awain and the Green Knight";2023;0.00;"Sin descripción"
"J.R.R. Tolkien";"Taru Sormusten Herrasta";2024;0.00;"Sin descripción"
"J.R.R. Tolkien";"The Legend of Sigurd and Gudrún";2010;3.00;"Tolkien's version of the great legend of Northern antiquity. In the first part, we follow the adventures of Sigurd, the slayer of Fafnir, and his betrothal to the Valkyrie Brynhild. In the second, the tragedy mounts to its end in the murder of Sigurd at the hands of his blood-brothers, the suicide of Brynhild, and the despair of Gudrún."
"J.R.R. Tolkien";"Bilbo's Last Song (At the Grey Havens)";2009;4.00;"Bilbo’s Last Song is considered by many to be Tolkien’s epilogue to his classic work The Lord of the Rings. As Bilbo Baggins takes his final voyage to the Undying Lands, he must say goodbye to Middle-earth. Poignant and lyrical, the song is both a longing to set forth on his ultimate journey and a tender farewell to friends left behind.

Pauline Baynes’s jewel-like illustrations lushly depict both this final voyage and scenes from The Hobbit, as Bilbo remembers his first journey while he prepares for his last."
"J.R.R. Tolkien";"Tales from the Perilous Realm";2009;4.00;"Never before published in a single volume, Tolkien's four novellas (Farmer Giles of Ham, Leaf by Niggle, Smith of Wootton Major, and Roverandom) and one book of poems (The Adventures of Tom Bombadil) are gathered together for the first time, in a fully illustrated volume. This new, definitive collection of works -- which had appeared separately, in various formats, between 1949 and 1998 -- comes with a brand-new foreword and endmatter, and with a series of detailed pencil illustrations by Alan Lee."
"J.R.R. Tolkien";"Smith of Wootton Major";2009;0.00;"The village of Wootton Major is well-known around the countryside for its annual festivals, which are particularly famous for their culinary delights. The biggest festival of them all is the Feast of Good Children. This festival is celebrated only once every twenty-four years, and the celebrations take the form of a party to which twenty-four children of the village are invited. The highpoint of the party is the Great Cake, which is remarkable for its hidden magical ingredients. Whoever swallows one of these is given the rare gift of an entry into the Land of Faery.

This year the magic star hidden inside the Great Cake was eaten by a blacksmith's son. The boy did not feel any of its magical properties at once but on the morning of his tenth birthday the star fixed itself on his forehead and marked him as one intimate with the Faeryfolk. This boy grew up to be a blacksmith like his father, but in his free time he roamed into the Land of Faery. The star on his forehead protected him from the evils threatening mortals in that land, and the Folk called him Starbrow and told him about their land and its hidden beauties and dangers.

The years passed and it was now time for another Feast of Good Children. Smith had had his precious gift for most of his life now and the time had come for it to be passed on to some other child. So he gave up the star, and the mysterious new Master Cook baked it into the festive cake once more.

Funny, frightening and always fascinating, the book is in part dominated by the character of the earlier Master Cook, a shallow, sly and lazy man called Nokes. He is the foremost among the non-believers, and dismisses all things magical as mere dreams and fancies. In the end it is he who meets the King of Faery and who is told off by him for his greed and indolence."
"J.R.R. Tolkien";"Unfinished Tales of Númenor and Middle-earth";2009;3.94;"Unfinished Tales is a collection of narratives ranging in time from the Elder Days of Middle-earth to the end of the War of the Ring, and provides those who have read The Lord of the Rings with a whole collection of background and new stories from the twentieth century’s most acclaimed popular author.

The book concentrates on the realm of Middle-earth and comprises such elements as Gandalf’s lively account of how it was that he came to send the Dwarves to the celebrated party at Bag-End, the emergence of the sea-god Ulmo before the eyes of Tuor on the coast of Beleriand, and an exact description of the military organization of the Riders of Rohan.

Unfinished Tales also contains the only story about the long ages of Numenor before its downfall, and all that is known about such matters as the Five Wizards, the Palantiri and the legend of Amroth. The tales were collated and edited by JRR Tolkien’s son and literary heir, Christopher Tolkien, who provides a short commentary on each story, helping the reader to fill in the gaps and put each story into the context of the rest of his father’s writings."
"J.R.R. Tolkien";"The Tolkien Reader";2009;0.00;"Anthology of Works, published 1966, including poems, short stories, a play, and some non fiction. 
Compilation of materials previously published as ""Tree and Leaf"", ""Farmer Giles of Ham,"" and ""The Adventures of Tom Bombadil"", along with one additional piece and intro material."
"J.R.R. Tolkien";"Tolkien On Fairy-stories";2016;4.00;"Sin descripción"
"J.R.R. Tolkien";"Morgoth's Ring";2009;3.50;"In Morgoth's Ring, the tenth volume of The History of Middle-earth and the first of two companion volumes, Christopher Tolkien describes and documents the legends of the Elder Days, as they were evolved and transformed by his father in the years before he completed The Lord of the Rings. The text of the Annals of Aman, the ""Blessed Land"" in the far West, is given in full. And in writings never before published, we can see the nature of the problems that J.R.R. Tolkien explored in his later years as new and radical ideas, portending upheaval in the heart of the mythology. At this time Tokien sought to redefine the old legends, and wrote of the nature and destiny of Elves, the idea of Elvish rebirth, the origins of the Orcs, and the Fall of Men. His meditation of mortality and immortality as represented in the lives of Men and Elves led to another major writing at this time, the ""Debate of Finrod and Andreth,"" which is reproduced here in full. ""Above all,"" Christopher Tolkien writes in his foreward, ""the power and significance of Melkor-Morgoth...was enlarged to become the ground and source of the corruption of Arda."" This book indeed is all about Morgoth. Incomparably greater than the power of Sauron, concentrated in the One Ring, Morgoth's power (Tolkien wrote) was dispersed into the very matter of Arda: ""The whole of Middle-earth was Morgoth's Ring."""
"J.R.R. Tolkien";"The Fall of Númenor";2022;4.50;"Sin descripción"
"J.R.R. Tolkien";"The Fall of Gondolin";2009;3.00;"""In the Tale of The Fall of Gondolin are two of the greatest powers in the world. There is Morgoth of the uttermost evil, unseen in this story but ruling over a vast military power from his fortress of Angband. Deeply opposed to Morgoth is Ulmo, second in might only to Manwë, chief of the Valar: he is called the Lord of Waters, of all seas, lakes, and rivers under the sky. But he works in secret in Middle-earth to support the Noldor, the kindred of the Elves among whom were numbered Húrin and Túrin Turambar. Central to this enmity of the gods is the city of Gondolin, beautiful but undiscoverable. It was built and peopled by Noldorin Elves who, when they dwelt in Valinor, the land of the gods, rebelled against their rule and fled to Middle-earth. Turgon King of Gondolin is hated and feared above all his enemies by Morgoth, who seeks in vain to discover the marvellously hidden city, while the gods in Valinor in heated debate largely refuse to intervene in support of Ulmo's desires and designs. Into this world comes Tuor, cousin of Túrin, the instrument of Ulmo's designs. Guided unseen by him Tuor sets out from the land of his birth on the fearful journey to Gondolin, and in one of the most arresting moments in the history of Middle-earth the sea-god himself appears to him, rising out of the ocean in the midst of a storm. In Gondolin he becomes great; he is wedded to Idril, Turgon's daughter, and their son is Eärendel, whose birth and profound importance in days to come is foreseen by Ulmo. At last comes the terrible ending. Morgoth learns through an act of supreme treachery all that he needs to mount a devastating attack on the city, with Balrogs and dragons and numberless Orcs. After a minutely observed account of the fall of Gondolin, the tale ends with the escape of Túrin and Idril, with the child Eärendel, looking back from a cleft in the mountains as they flee southward, at the blazing wreckage of their city. They were journeying into a new story, the Tale of Eärendel, which Tolkien never wrote, but which is sketched out in this book from other sources. Following his presentation of Beren and Lúthien Christopher Tolkien has used the same 'history in sequence' mode in the writing of this edition of The Fall of Gondolin. In the words of J.R.R. Tolkien, it was 'the first real story of this imaginary world' and, together with Beren and Lúthien and The Children of Húrin, he regarded it as one of the three 'Great Tales' of the Elder Days."" - Amazon.com"
"J.R.R. Tolkien";"The Story of Kullervo";2016;3.00;"Brought up in the homestead of the dark magician Untamo, who killed his father, kidnapped his mother, and tried three times to kill him when he was still a boy, Kullervo is alone save for the love of his twin sister, Wanona, and the magical powers of the black dog Musti, who guards him. When Kullervo is sold into slavery he swears revenge on the magician, but he will learn that even at the point of vengeance there is no escape from the cruelest of fates. The story-- only forty pages long-- is followed by essays and commentaries on Tolkien's work, and on the source material."
"J.R.R. Tolkien";"The Fall of Arthur";2013;3.33;"The first publication of a previously unknown narrative poem by J.R.R. Tolkien, which tells the extraordinary story of the final days of England's legendary hero, King Arthur."
"J.R.R. Tolkien";"The Children of Húrin";2009;4.00;"The ‘Great Tale’ of The Children of Húrin, set during the legendary time before The Lord of the Rings. Morgoth, the first Dark Lord, dwells in the vast fortress of Angband in the North; and within the shadow of the fear of Angband, and the war waged by Morgoth against the Elves, the fates of Turin and his sister Nienor will be tragically entwined. Their brief and passionate lives are dominated by the elemental hatred that Morgoth bears them as the children of Hurin, the man who dared to defy him to his face. Against them Morgoth sends his most formidable servant, Glaurung, a powerful spirit in the form of a huge wingless dragon of fire. Sardonic and mocking, Glaurung manipulates the fates of Turin and Nienor by lies of diabolic cunning and guile, in an attempt to fulfil the curse of Morgoth."
"J.R.R. Tolkien";Roverandom;2009;4.20;"Roverandom is a novella written by J.R.R. Tolkien, originally told in 1925. It deals with the adventures of a young dog, Rover. In the story, an irritable wizard turns Rover into a toy, and Rover goes to the moon and under the sea in order to find the wizard again to turn him back into a normal-sized dog. The author wrote Roverandom for his son Michael Tolkien to amuse him upon the loss of his favorite toy — a little leaden dog. The work is in tone a children's story, but contains many allusions and references in the manner of ""Farmer Giles of Ham""."
"J.R.R. Tolkien";"The peoples of Middle-Earth";2009;4.50;"Sin descripción"
"J.R.R. Tolkien";"Sauron Defeated";2009;5.00;"In the first part of Sauron Defeated, Christopher Tolkien completes his account of the writing of The Lord of the Rings, beginning with Sam's rescue of Frodo from the Tower of Kirith Ungol, and giving a very different account of the Scouring of the Shire. This part ends with versions of the previously unpublished Epilogue, an alternate ending to the masterpiece in which Sam attempts to answer his children's questions years after the departure of Bilbo and Frodo from the Grey Havens. The second part introduces The Notion Club Papers, now published for the first time. Written by J.R.R. Tolkien in the interval between The Two Towers and The Return of the King (1945-1946), these mysterious Papers, discovered in the early years of the twenty-first century, report the discussions of a literary club in Oxford in the years 1986-1987. Those familiar with the Inklings will see a parallel with the group whose members included J.R.R. Tolkien and C.S. Lewis. After a discussion of the possiblities of travel through space and time through the medium of 'true dream,"" the story turns to the legend of Atlantis, the strange communications received by members of the club out of remote past, and the violent irruption of the legend into northwestern Europe. Closely associated with the Papers is a new version of the Numenorean legend, The Drowning of Anadune, which constitutes the third part of the book. At this time the language of the Men of the West, Adunaic, was first devised - Tolkien's fifteenth invented language. The book concludes with an elaborate account of the structure of this language by Arundel Lowdham, a member of the Notion Club, who learned it in his dreams. Sauron Defeated is illustrated with the changing conceptions of the fortress of Kirith Ungol and Mount Doom, previously unpublished drawings of Orthanc and Dunharrow, and fragments of manuscript written in Numenorean script."
"J.R.R. Tolkien";"The War of the Ring";2009;0.00;"The War of the Ring is the third volume of The History of The Lord of the Rings and the eighth volume in The History of Middle-earth.

The War of the Ring takes up the story of The Lord of the Rings with the Battle of the Hornburg and the drowning of Isengard by the Ents, continues with the journey of Frodo, Sam and Gollum to the Pass of Cirith Ungol, describes the war in Gondor, and ends with the parley between Gandalf and the ambassador of the Dark Lord before the Black Gate of Mordor. 

In describing his intentions for The Return of the King, J.R.R. Tolkien said that 'It will probably work out very differently from this plan when it really gets written, as the thing seems to write itself once it gets going'; and in The War of the Ring totally unforeseen developments that would become central to the narrative are seen at the moment of their emergence: the palantir bursting into fragments on the stairs of Orthanc, its nature as unknown to the author as to those who saw it fall, or the entry of Faramir into the story ('I am sure I did not invent him, though I like him, but there he came walking into the woods of Ithilien').

The book is illustrated with plans and drawings of the changing conceptions of Orthanc, Dunharrow, Minas Tirith and the tunnels of Shelob's Lair."
"J.R.R. Tolkien";"The Treason of Isengard";2009;4.00;"The Treason of Isengard is the second volume of The History of The Lord of the Rings and the seventh volume of The History of Middle-earth.

The Treason of Isengard continues the account of the creation of The Lord of the Rings started in the earlier volume, The Return of the Shadow. In this book, following the long halt in the darkness of the Mines of Moria with which The Return of the Shadow ended, is traced the great expansion of the tale into new lands and new peoples south and east of the Misty Mountains; the emergence of Lothlorien, of Ents, of the Riders of Rohan, and of Saruman the White in the fortress of Isengard.

In brief outlines and penciled drafts dashed down on scraps of paper are seen the first entry of Galadriel, the earliest ideas of the history of Gondor, the original meeting of Aragorn and Eowyn, its significance destined to be wholly transformed. Conceptions of what lay ahead are seen dissolving as the story took its own paths, as in the account of the capture of Frodo and his rescue by Sam Gamgee from Minas Morgul, written long before J.R.R. Tolkien actually came to that point in the writing of The Lord of the Rings. 

A chief feature of the book is a full account of the original Map, with re-drawings of successive phases, which was long the basis and accompaniment of the emerging geography of Middle-earth. An appendix to the book describes the Runic alphabets as they were at that time, with illustrations of the forms and an analysis of the Runes used in the Book of Mazarbul found beside Balin's Tomb in Moria."
"J.R.R. Tolkien";"The Return of the Shadow";2009;4.00;"The Return of the Shadow is the first volume of the The History of The Lord of the Rings and the sixth volume of The History of Middle-earth. It is a history of the creation of The Lord of the Rings, a fascinating study of Tolkien's great masterpiece, from its inception to the end of the first volume, The Fellowship of the Ring. 

In The Return of the Shadow (the abandoned title of the first volume of The Lord of the Rings) Christopher Tolkien describes, with full citation of the earliest notes, outline plans, and narrative drafts, the intricate evolution of The Fellowship of the Ring and the gradual emergence of the conceptions that transformed what J.R.R. Tolkien for long believed would be a far shorter book, 'a sequel to The Hobbit'. 

The enlargement of Bilbo's 'magic ring' into the supremely potent and dangerous Ruling Ring of the Dark Lord is traced and the precise moment is seen when, in an astonishing and unforeseen leap in the earliest narrative, a Black Rider first rode into the Shire, his significance still unknown. 

The character of the hobbit called Trotter (afterwards Strider or Aragorn) is developed while his indentity remains an absolute puzzle, and the suspicion only very slowly becomes certainty that he must after all be a Man. The hobbits, Frodo's companions, undergo intricate permutations of name and personality, and other major figures appear in strange modes: a sinister Treebeard, in league with the Enemy, a ferocious and malevolent Farmer Maggot.

The story in this book ends at the point where J.R.R. Tolkien halted in the story for a long time, as the Company of the Ring, still lacking Legolas and Gimli, stood before the tomb of Balin in the Mines of Moria. The Return of the Shadow is illustrated with reproductions of the first maps and notable pages from the earliest manuscripts."
"J.R.R. Tolkien";"The lost road and other writings";2009;4.00;"At the end of the 1937 J.R.R. Tolkien reluctantly set aside his now greatly elaborated work on the myths and heroic legends of Valinor and Middle-earth and began The Lord of the Rings. This fifth volume of The History of Middle-earth, edited by Christopher Tolkien, completes the presentation of the whole compass of his writing on those themes up to that time. Later forms of the Annuals of Valinor and the Annals of Berleriand had been composed, The Silmarillion was nearing completion in a greatly amplified version, and a new map had been made; the myth of the Music of the Ainur had become a separate work; and the legend of the Downfall of Numenor had already entered in a primitive form, introducing the cardinal ideas of the World Made Round and the Straight Path into the vanished West. Closely associated with this was the abandoned time-travel story, The Lost Road, which was to link the world of Numenor and Middle-earth with the legends of many other times and peoples. A long essay, The Lhammas, had been written on the ever more complex relations of the languages and dialects of Middle-earth; and an etymological dictionary had been undertaken, in which a great number of words and names in the Elvish languages were registered and their formation explained - thus providing by far the most extensive account of their vocabularies that has appeared."
"J.R.R. Tolkien";"The Shaping of Middle-Earth";2009;0.00;"In this truly indispensable reference, trace the development of the early lore of Middle-earth. Poems and prose, maps and chronologies, detours and diversions along the road to Middle-earth -- Christopher Tolkien has gathered archival materials that his late father, J.R.R. Tolkien, used to create the world and the history behind his classic stories. The Shaping of Middle-earth presents early versions of those first tales, from the creation myth to the fall of Morgoth. Writings include a chronology of the events in Beleriand, the first Silmarillion map, and the only known description of the physical nature of Middle-earth's universe. Detailed annotations highlight changes ranging from the spelling of Elvish names to pivotal emendations whose effects reach even to the War of the Ring. This extraordinary book will be fascinating reading for those just entering this world -- and a delight for fans of this endlessly beloved land. - Back cover."
"J.R.R. Tolkien";"The Lays of Beleriand";2009;4.00;"This is the third volume of the History of Middle-earth, which comprises here-tofore unpublished manuscripts that were written over a period of many years before Tolkien's Simlarillion was published. Volumes 1 and 2 were the Book of Lost Tales, Part One and The Book of Lost Tales, Part Two. Together, these volumes encompass an extraordinarily extensive body of material ornamenting and buttressing what must be the most fully realized world ever to spring from a single author's imagination.
""I write alliterative verse with pleasure,"" wrote J.R.R. Tolkien in 1955, ""though I have published little beyond the fragments in The Lord of the Rings, except The Homecoming of Beorhtnoth."" The first of the poems in The Lays of Beleriand is the previously unpublished Lay of the Children of Hurin, his early but most sustained work in the ancient English meter, intended to narrate on a grand scale the tragedy of Turin Turambar. It was account of the killing by Turin of his friend Beleg, as well as a unique description of the great redoubt of Nargothrond. The Lay of the Children of Hurin was supplanted by the Lay of Leithian, ""Release from Bondage"", in which another major legend of the Elder Days received poetic form, in this case in rhyme. The chief source of the short prose tale of Beren and Luthien is The Silmarillion. This, too, was not completed, but the whole Quest of the Silmaril is told, and the poem breaks off only after the encounter with Morgoth in his subterranean fortress. Many years later, when The Lord of the rings was finished, J.R.R. Tolkien returned to the Lay of Leithian and started on a new version, which is also given in this book.
Accompanying the poems are commentaries on the evolution of the history of the Elder Days, which was much developed during the years of the composition of the two Lays. Also included is the notable criticism in detail of the Lay of Lethian by C.S. Lewis, Tolkien's friend and colleague, who read the poem in 1929. By assuming that this poem is actually a fragment from a past lost in history, Lewis underlined the remarkable power of its author's imaginative talents and academic competence."
"J.R.R. Tolkien";"The book of lost tales";2009;5.00;"Besteht aus den Bänden:
 - [Das Buch der verschollenen Geschichten, Teil 1](/works/OL15331146W)
 - [Das Buch der verschollenen Geschichten, Teil 2](/works/OL15331147W)"
"J.R.R. Tolkien";"The Book of Lost Tales [2/2]";2009;2.00;"The stories continues from ""Part I"", and begins with Eriol, having spent spent many days at the 'Cottage of Lost Play', a house he arrived at while traveling. It is owned by Lindo and Vairë. There he has listened to stories by the family that had taken him in. The first story in this book that he hears is ""The Tale of Tinúviel"".

""The Tale of Tinúviel"" tells the story of Beren a human male who falls in love with Lúthien Tinúviel a female elf. He wishes to marry her but is given a seemingly impossible task to get a Silmaril jewel from the crown of a evil being. He succeeds in getting the jewel but loses his hand in the attempt, and after their marriage he dies, and she also dies from heartbreak, and they are returned to life for second chance.

Eriol himself tells the next story, that of ""Turambar and the Foalókë"".

""Turambar and the Foalókë"" is the story of a warrior that is imprissioned by the evil being and set on a mountain top to watch his family suffer while he watches with the curse of special sight. The story then changes to his son, Túrin, who also fights but is betrayed by his men and cursed, after losing a battle with a dragon he changes his name. His sister and mother look for him but are captured and their memories erased by the dragon. He later meets his sister, now strangers to each other, they become married. He finally defeats the dragon, but with that her memory returns. Realizing he's her brother she jumps off a cliff, he kills himself, and the mother goes screaming into the woods. The father then is released by the evil being and he goes and kills the men that betrayed his son. Then goes looking for his wife in the woods. The story ends with the family reunited and dwelling with the spirits."
"J.R.R. Tolkien";"The monsters and the critics, and other essays";2009;4.25;"Sin descripción"
"J.R.R. Tolkien";"Smith of Wooten Major and Farmer Giles of Ham";2009;0.00;"Sin descripción"
"J.R.R. Tolkien";"Nachrichten aus Mittelerde";2023;0.00;"Sin descripción"
"J.R.R. Tolkien";Beowulf;2020;4.00;"Sin descripción"
"J.R.R. Tolkien";"La realtà in trasparenza. Lettere";2023;0.00;"Sin descripción"
"J.R.R. Tolkien";"History of Middle-Earth";2023;0.00;"Sin descripción"
"J.R.R. Tolkien";"The Lord of the Rings and The Hobbit";2021;0.00;"Sin descripción"
"J.R.R. Tolkien";"La formazione della Terra di Mezzo";2024;0.00;"La storia della Terra di Mezzo | volume 4 John Ronald Reuel Tolkien, conosciuto per Lo Hobbit e Il Signore degli anelli, ha scritto nel corso della vita molti racconti e versi che arricchiscono la mitologia e le storie della Terra di Mezzo. Dopo la sua scomparsa il figlio Christopher per volontà del padre ha seguito con cura la pubblicazione di questo tesoro, portando alla luce nuovi personaggi, episodi epici e luoghi incantati. Il quarto volume della Storia della Terra di Mezzo è una pietra miliare per la lettura approfondita di tutte le opere dell’autore. I lettori potranno scoprire particolari mai raccontati prima nella dettagliata esposizione della forma geografica e della cronologia delle leggende di Arda. Il libro è composto dall’Ambarkanta, ovvero “la forma del Mondo”, con mappe e diagrammi della Terra di Mezzo prima e dopo la Guerra degli Dèi e la Caduta di Númenor; gli Annali di Valinor e gli Annali del Beleriand, che ripercorrono le vicende della Prima Era; la prima versione del Silmarillion e del Quenta Noldorinwa. Un tesoro luminoso e pieno di sorprese, pagine emozionanti per continuare il viaggio nell’immaginario tolkieniano."
